id,name,genre_id,unit_id,nutrition
1,たまねぎ,1,3,"{""fat"":1.13,""salt"":0,""protein"":1.88,""calories"":69.6,""carbohydrates"":0.19}"
2,にんじん,1,7,"{""fat"":1.08,""salt"":0,""protein"":1.44,""calories"":64.8,""carbohydrates"":0.18}"
3,じゃがいも,1,3,"{""fat"":1.32,""salt"":0,""protein"":1.76,""calories"":83.6,""carbohydrates"":0.11}"
4,キャベツ,1,3,"{""fat"":8.04,""salt"":0,""protein"":11.61,""calories"":205.4,""carbohydrates"":1.79}"
5,ねぎ,1,7,"{""fat"":0.36,""salt"":0,""protein"":0.6,""calories"":22.2,""carbohydrates"":0.06}"
6,だいこん,1,7,"{""fat"":2.25,""salt"":0,""protein"":3,""calories"":135,""carbohydrates"":0.75}"
7,トマト,1,3,"{""fat"":0.82,""salt"":0,""protein"":1.15,""calories"":31.3,""carbohydrates"":0.17}"
8,ピーマン,1,3,"{""fat"":0.18,""salt"":0,""protein"":0.23,""calories"":5.7,""carbohydrates"":0.05}"
9,きゅうり,1,7,"{""fat"":0.69,""salt"":0,""protein"":0.98,""calories"":13.7,""carbohydrates"":0.1}"
10,しょうが,1,3,"{""fat"":0.17,""salt"":0,""protein"":0.22,""calories"":7.2,""carbohydrates"":0.07}"
11,にんにく,1,3,"{""fat"":1.99,""salt"":0,""protein"":3.26,""calories"":69.4,""carbohydrates"":0.46}"
12,しそ,1,8,"{""fat"":0.31,""salt"":0,""protein"":0.39,""calories"":3.7,""carbohydrates"":0.01}"
13,なす,1,7,"{""fat"":0.63,""salt"":0,""protein"":0.99,""calories"":19.8,""carbohydrates"":0.09}"
14,かぼちゃ,1,3,"{""fat"":2.7,""salt"":0,""protein"":4.27,""calories"":204.8,""carbohydrates"":0.67}"
15,レタス,1,3,"{""fat"":2.45,""salt"":0,""protein"":2.94,""calories"":58.8,""carbohydrates"":0.49}"
16,しいたけ,1,3,"{""fat"":0.44,""salt"":0,""protein"":0.69,""calories"":4.4,""carbohydrates"":0.07}"
17,しめじ,1,15,"{""fat"":1.44,""salt"":0,""protein"":2.43,""calories"":16.2,""carbohydrates"":0.54}"
18,えのき,1,15,"{""fat"":1.8,""salt"":0,""protein"":3.24,""calories"":26.4,""carbohydrates"":0.24}"
19,ブロッコリー,1,10,"{""fat"":3.92,""salt"":0,""protein"":5.8,""calories"":44.6,""carbohydrates"":0.68}"
20,もやし,1,11,"{""fat"":0,""salt"":0,""protein"":3.14,""calories"":23.5,""carbohydrates"":0.2}"
21,豆苗,1,11,"{""fat"":0.44,""salt"":0,""protein"":4.18,""calories"":31,""carbohydrates"":4.4}"
22,白菜,1,3,"{""fat"":9.4,""salt"":0,""protein"":12.22,""calories"":122.2,""carbohydrates"":0.94}"
23,ほうれんそう,1,23,"{""fat"":2.9,""salt"":0,""protein"":4,""calories"":36,""carbohydrates"":0.7}"
24,にら,1,23,"{""fat"":1.14,""salt"":0,""protein"":1.615,""calories"":19.95,""carbohydrates"":0.285}"
25,アボカド,1,3,"{""fat"":2.52,""salt"":0,""protein"":3.5,""calories"":261.8,""carbohydrates"":26.179999999999996}"
26,パプリカ,1,3,"{""fat"":0.2,""salt"":0,""protein"":0.3,""calories"":8.1,""carbohydrates"":0.1}"
27,ミニトマト,1,15,"{""fat"":0.1,""salt"":0,""protein"":0.1,""calories"":2.9,""carbohydrates"":0}"
28,さつまいも,1,7,"{""fat"":1.8,""salt"":0,""protein"":2.2,""calories"":243.9,""carbohydrates"":0.4}"
29,ごぼう,1,7,"{""fat"":1.9800000000000002,""salt"":0,""protein"":3.24,""calories"":117,""carbohydrates"":0.18000000000000002}"
30,れんこん,1,1,"{""fat"":1.3,""salt"":0,""protein"":1.9,""calories"":67.3,""carbohydrates"":0.1}"
31,オクラ,1,7,"{""fat"":0.12,""salt"":0,""protein"":0.168,""calories"":2.4,""carbohydrates"":0.016}"
32,とうもろこし,1,7,"{""fat"":4.9,""salt"":0,""protein"":6.5,""calories"":165.6,""carbohydrates"":3.1}"
33,アスパラ,1,7,"{""fat"":0.3,""salt"":0,""protein"":0.4,""calories"":3.5,""carbohydrates"":0}"
34,エリンギ,1,7,"{""fat"":1.2,""salt"":0,""protein"":2,""calories"":13.6,""carbohydrates"":0.2}"
35,まいたけ,1,15,"{""fat"":0.8,""salt"":0,""protein"":1.4,""calories"":16.2,""carbohydrates"":0.5}"
36,マッシュルーム,1,15,"{""fat"":0.2,""salt"":0,""protein"":0.4,""calories"":1.5,""carbohydrates"":0}"
37,小松菜,1,23,"{""fat"":2.2,""salt"":0,""protein"":2.5,""calories"":23.8,""carbohydrates"":0.3}"
38,チンゲンサイ,1,10,"{""fat"":0.6,""salt"":0,""protein"":0.5,""calories"":7.6,""carbohydrates"":0.1}"
39,水菜,1,11,"{""fat"":3.2,""salt"":0,""protein"":3.7,""calories"":39.1,""carbohydrates"":0.2}"
40,かぶ,1,3,"{""fat"":2.4,""salt"":0,""protein"":2.7,""calories"":23.8,""carbohydrates"":0.1}"
41,さといも,1,3,"{""fat"":0.5,""salt"":0,""protein"":0.6,""calories"":24.9,""carbohydrates"":0}"
42,長いも,1,3,"{""fat"":10.1,""salt"":0,""protein"":15.8,""calories"":468,""carbohydrates"":2.2}"
43,セロリ,1,7,"{""fat"":0.3,""salt"":0,""protein"":0.3,""calories"":9.8,""carbohydrates"":0.1}"
44,ズッキーニ,1,7,"{""fat"":1.7,""salt"":0,""protein"":2.5,""calories"":26.9,""carbohydrates"":0.2}"
45,ゴーヤ,1,7,"{""fat"":0.2,""salt"":0,""protein"":2.1,""calories"":32,""carbohydrates"":8.3}"
46,トマト缶,1,12,"{""fat"":0.8,""salt"":0.4,""protein"":3.6,""calories"":84,""carbohydrates"":17.6}"
47,コーン,1,1,"{""fat"":0.3,""salt"":0,""protein"":1.1,""calories"":39,""carbohydrates"":8.9}"
48,ミックスベジタブル,1,1,"{""fat"":0.3,""salt"":0.1,""protein"":1.5,""calories"":33.5,""carbohydrates"":8}"
49,えんどう豆,1,1,"{""fat"":1.1,""salt"":0.5,""protein"":10.4,""calories"":155,""carbohydrates"":29}"
50,いんげん,1,1,"{""fat"":0.6,""salt"":0,""protein"":0.9,""calories"":11.5,""carbohydrates"":0.1}"
51,えだまめ,1,1,"{""fat"":5,""salt"":0,""protein"":5.8,""calories"":67.5,""carbohydrates"":3.1}"
52,切り干し大根,1,1,"{""fat"":1.5,""salt"":0.3,""protein"":1.6,""calories"":40.2,""carbohydrates"":5.5}"
53,みょうが,1,3,"{""fat"":0.1,""salt"":0,""protein"":0.1,""calories"":1,""carbohydrates"":0}"
54,干ししいたけ,1,1,"{""fat"":0.6,""salt"":0,""protein"":4.3,""calories"":50,""carbohydrates"":10.3}"
55,きくらげ,1,1,"{""fat"":2.2,""salt"":0,""protein"":3.5,""calories"":85.5,""carbohydrates"":0.3}"
56,ししとう,1,7,"{""fat"":0.1,""salt"":0,""protein"":0.1,""calories"":1.1,""carbohydrates"":0}"
57,なめこ,1,11,"{""fat"":0.8,""salt"":0,""protein"":1.4,""calories"":12,""carbohydrates"":0.2}"
58,たくあん,1,1,"{""fat"":0,""salt"":0,""protein"":0.9,""calories"":13.5,""carbohydrates"":0.1}"
59,高菜,1,1,"{""fat"":0.8,""salt"":0,""protein"":0.9,""calories"":10.5,""carbohydrates"":0.1}"
60,らっきょう,1,3,"{""fat"":0,""salt"":0,""protein"":0.1,""calories"":5.9,""carbohydrates"":0}"
61,かいわれ大根,1,15,"{""fat"":0.9,""salt"":0,""protein"":1,""calories"":10.3,""carbohydrates"":0.2}"
62,みつば,1,11,"{""fat"":0.7,""salt"":0,""protein"":0.8,""calories"":13.5,""carbohydrates"":0.1}"
63,ベビーリーフ,1,11,"{""fat"":0.4,""salt"":0.1,""protein"":3.1,""calories"":20,""carbohydrates"":1.7}"
64,クレソン,1,23,"{""fat"":0.6,""salt"":0,""protein"":0.9,""calories"":6.5,""carbohydrates"":0}"
65,ルッコラ,1,11,"{""fat"":0,""salt"":0,""protein"":0.9,""calories"":9.3,""carbohydrates"":0.2}"
66,芽キャベツ,1,3,"{""fat"":0.2,""salt"":0,""protein"":0.3,""calories"":2.5,""carbohydrates"":0}"
67,ラディッシュ,1,3,"{""fat"":0.1,""salt"":0,""protein"":0.1,""calories"":1.6,""carbohydrates"":0}"
68,ヤングコーン,1,7,"{""fat"":0.2,""salt"":0,""protein"":0.2,""calories"":2.9,""carbohydrates"":0}"
69,そらまめ,1,1,"{""fat"":10,""salt"":0,""protein"":13,""calories"":174,""carbohydrates"":1}"
70,茎にんにく,1,7,"{""fat"":0.1,""salt"":0,""protein"":0.2,""calories"":4.5,""carbohydrates"":0}"
71,グリンピース,1,1,"{""fat"":2.5,""salt"":0,""protein"":3.5,""calories"":46.5,""carbohydrates"":0.2}"
72,菜の花,1,23,"{""fat"":0.4,""salt"":0,""protein"":8.8,""calories"":68,""carbohydrates"":11.6}"
73,春菊,1,23,"{""fat"":3.6,""salt"":0,""protein"":4.6,""calories"":44,""carbohydrates"":0.6}"
74,野沢菜,1,11,"{""fat"":0.2,""salt"":0,""protein"":1.9,""calories"":29,""carbohydrates"":7.3}"
75,モロヘイヤ,1,11,"{""fat"":3.6,""salt"":0,""protein"":4.8,""calories"":38,""carbohydrates"":0.5}"
76,空心菜,1,23,"{""fat"":0,""salt"":0,""protein"":3.3,""calories"":25.5,""carbohydrates"":0.2}"
77,ピクルス,1,1,"{""fat"":0.1,""salt"":0,""protein"":0.1,""calories"":33.5,""carbohydrates"":0.1}"
78,クリームコーン,1,12,"{""fat"":0.9,""salt"":1.3,""protein"":3.1,""calories"":148,""carbohydrates"":33.5}"
79,ビーツ,1,1,"{""fat"":0.5,""salt"":0,""protein"":0.8,""calories"":20.5,""carbohydrates"":0.1}"
80,マツタケ,1,7,"{""fat"":0,""salt"":0,""protein"":0.8,""calories"":9,""carbohydrates"":0.2}"
81,ぎんなん,1,1,"{""fat"":2,""salt"":0,""protein"":2.4,""calories"":85.5,""carbohydrates"":0.8}"
82,うり,1,1,"{""fat"":0.3,""salt"":0,""protein"":0.5,""calories"":7.5,""carbohydrates"":0.1}"
83,ふき,1,7,"{""fat"":0,""salt"":0,""protein"":0.2,""calories"":6.6,""carbohydrates"":0}"
84,うど,1,7,"{""fat"":0,""salt"":0,""protein"":1,""calories"":23.4,""carbohydrates"":0.1}"
85,せり,1,23,"{""fat"":1.3,""salt"":0,""protein"":1.4,""calories"":11.9,""carbohydrates"":0.1}"
86,たけのこ,1,1,"{""fat"":1.3,""salt"":0,""protein"":1.8,""calories"":13,""carbohydrates"":0.1}"
87,たらの芽,1,1,"{""fat"":0,""salt"":0,""protein"":2.1,""calories"":13.5,""carbohydrates"":0.1}"
88,菊,1,3,"{""fat"":0,""salt"":0,""protein"":0.1,""calories"":1.4,""carbohydrates"":0}"
89,ぜんまい,1,1,"{""fat"":0,""salt"":0,""protein"":0.8,""calories"":14.5,""carbohydrates"":0.1}"
90,こごみ,1,3,"{""fat"":0,""salt"":0,""protein"":0.2,""calories"":1.4,""carbohydrates"":0}"
91,ゆり根,1,3,"{""fat"":0,""salt"":0,""protein"":3.4,""calories"":112.5,""carbohydrates"":0.1}"
92,じゅんさい,1,1,"{""fat"":0,""salt"":0,""protein"":0.2,""calories"":2.5,""carbohydrates"":0}"
