recipe_id,ingredient_id,quantity_required,unit_id
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c9d,94,200,1
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c9d,204,50,1
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c9d,292,1,3
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c9d,202,30,1
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c9d,233,2,4
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c9d,224,1,5
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c9d,225,1,5
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c9d,4,0.25,3
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c9d,7,1,3
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c9d,239,0.25,3
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c9d,241,2,4 
