recipe_id,ingredient_id,quantity_required,unit_id
90EC486A-E104-406B-AEC4-C31F39DFF48B,156,300,1
90EC486A-E104-406B-AEC4-C31F39DFF48B,1,1,3
90EC486A-E104-406B-AEC4-C31F39DFF48B,2,1,3
90EC486A-E104-406B-AEC4-C31F39DFF48B,8,1,3
90EC486A-E104-406B-AEC4-C31F39DFF48B,11,1,3
90EC486A-E104-406B-AEC4-C31F39DFF48B,10,1,3
90EC486A-E104-406B-AEC4-C31F39DFF48B,243,1,4
90EC486A-E104-406B-AEC4-C31F39DFF48B,245,1,4
90EC486A-E104-406B-AEC4-C31F39DFF48B,227,1,4
90EC486A-E104-406B-AEC4-C31F39DFF48B,229,1,4
90EC486A-E104-406B-AEC4-C31F39DFF48B,228,1,4
90EC486A-E104-406B-AEC4-C31F39DFF48B,226,1,4
90EC486A-E104-406B-AEC4-C31F39DFF48B,233,1,6
90EC486A-E104-406B-AEC4-C31F39DFF48B,203,10,1 
