recipe_id,ingredient_id,quantity_required,unit_id
0066cc71-0554-4e06-aaf9-2884c3c0602a,14,0.25,3
0066cc71-0554-4e06-aaf9-2884c3c0602a,101,50,1
0066cc71-0554-4e06-aaf9-2884c3c0602a,1,0.5,3
0066cc71-0554-4e06-aaf9-2884c3c0602a,2,0.5,7
0066cc71-0554-4e06-aaf9-2884c3c0602a,5,0.5,7
0066cc71-0554-4e06-aaf9-2884c3c0602a,10,0.25,3
0066cc71-0554-4e06-aaf9-2884c3c0602a,11,0.25,3
0066cc71-0554-4e06-aaf9-2884c3c0602a,225,1,4
0066cc71-0554-4e06-aaf9-2884c3c0602a,229,1,4
0066cc71-0554-4e06-aaf9-2884c3c0602a,228,1,4
0066cc71-0554-4e06-aaf9-2884c3c0602a,226,0.5,4
0066cc71-0554-4e06-aaf9-2884c3c0602a,224,0.5,4 
