recipe_id,ingredient_id,quantity_required,unit_id
C8F9A2B1-D4E5-4F6A-8B7C-9D0E1F2A3B4C,373,1,11
C8F9A2B1-D4E5-4F6A-8B7C-9D0E1F2A3B4C,11,1,3
C8F9A2B1-D4E5-4F6A-8B7C-9D0E1F2A3B4C,10,1,3
C8F9A2B1-D4E5-4F6A-8B7C-9D0E1F2A3B4C,272,1,7
C8F9A2B1-D4E5-4F6A-8B7C-9D0E1F2A3B4C,233,1,6
C8F9A2B1-D4E5-4F6A-8B7C-9D0E1F2A3B4C,227,2,4
C8F9A2B1-D4E5-4F6A-8B7C-9D0E1F2A3B4C,229,1,4
C8F9A2B1-D4E5-4F6A-8B7C-9D0E1F2A3B4C,226,1,5
C8F9A2B1-D4E5-4F6A-8B7C-9D0E1F2A3B4C,224,1,21
C8F9A2B1-D4E5-4F6A-8B7C-9D0E1F2A3B4C,225,1,21 
