recipe_id,ingredient_id,quantity_required,unit_id
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4f,294,1,30
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4f,101,150,1
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4f,5,1,7
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4f,11,1,3
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4f,10,1,3
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4f,243,1,4
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4f,245,1,4
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4f,227,2,4
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4f,228,2,4
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4f,235,1,4
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4f,203,10,1 
