recipe_id,ingredient_id,quantity_required,unit_id
550e8400-e29b-41d4-a716-446655440000,112,200,1
550e8400-e29b-41d4-a716-446655440000,3,2,3
550e8400-e29b-41d4-a716-446655440000,2,1,7
550e8400-e29b-41d4-a716-446655440000,1,1,3
550e8400-e29b-41d4-a716-446655440000,373,1,7
550e8400-e29b-41d4-a716-446655440000,227,2,4
550e8400-e29b-41d4-a716-446655440000,229,2,4
550e8400-e29b-41d4-a716-446655440000,228,2,4
550e8400-e29b-41d4-a716-446655440000,226,1,4
550e8400-e29b-41d4-a716-446655440000,233,1,4
550e8400-e29b-41d4-a716-446655440000,50,50,1
