recipe_id,ingredient_id,quantity_required,unit_id
9801EF71-86FF-49B3-847F-EAF1CEE9A24D,94,100,1
9801EF71-86FF-49B3-847F-EAF1CEE9A24D,292,2,3
9801EF71-86FF-49B3-847F-EAF1CEE9A24D,1,0.5,3
9801EF71-86FF-49B3-847F-EAF1CEE9A24D,5,0.5,7
9801EF71-86FF-49B3-847F-EAF1CEE9A24D,233,1,4
9801EF71-86FF-49B3-847F-EAF1CEE9A24D,227,1,4
9801EF71-86FF-49B3-847F-EAF1CEE9A24D,229,1,4
9801EF71-86FF-49B3-847F-EAF1CEE9A24D,228,1,4
9801EF71-86FF-49B3-847F-EAF1CEE9A24D,226,1,4
9801EF71-86FF-49B3-847F-EAF1CEE9A24D,235,0.5,17
9801EF71-86FF-49B3-847F-EAF1CEE9A24D,190,1,28 
