recipe_id,ingredient_id,quantity_required,unit_id
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c7d,94,250,1
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c7d,1,1,3
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c7d,2,1,7
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c7d,8,2,3
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c7d,202,4,4
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c7d,292,1,3
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c7d,204,4,4
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c7d,227,2,4
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c7d,229,2,4
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c7d,228,2,4
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c7d,226,1,4
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c7d,230,2,4
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c7d,233,2,4 
